Product_Name,Product_ASIN,Brand,Price,MRP,Discount,Rating,Reviews,Product_Link,Delivery_Date,Service,Scraped_At
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, fy5006tu/fd0751tu/fd0752tu, UHD Graphics, HD Camera, Dual Speakers Laptop",B0CJBL2QWY,HP,"₹32,990","₹42,359",22% off,4.0 out of 5 stars,"1,607",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_1?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-1,"Fri, 12 Sept",,2025-09-09 19:14:47
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",B0D3HG5CMG,HP,"₹30,990","₹45,995",33% off,4.0 out of 5 stars,"1,785",https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_2?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-2,"Fri, 12 Sept",,2025-09-09 19:14:47
"HP 15 (2025), Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Fingerprint Reader/Ash Grey/1.5 kg/MS Office 2021",B0FMQDY6NZ,HP,"₹51,400","₹75,000",31% off,,,https://www.amazon.in/HP-15-Intel-Core-1334U/dp/B0FMQDY6NZ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-3,"Sat, 20 Sept",,2025-09-09 19:14:47
"HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop (15.6 inch, Ash Silver, 1.35 kg)",B0DV984J97,HP,"₹22,407","₹30,336",26% off,3.6 out of 5 stars,90,https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=sr_1_4?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-4,"Sun, 14 Sept",,2025-09-09 19:14:47
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",B0F29HNJL1,Lenovo,"₹34,750","₹54,900",37% off,3.9 out of 5 stars,143,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-5,"Fri, 12 Sept",,2025-09-09 19:14:47
"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/privacy shutter, fd0577TU",B0F4R6H3NB,HP,"₹54,990","₹70,841",22% off,3.8 out of 5 stars,155,https://www.amazon.in/HP-i5-1335U-Anti-Glare-Micro-edge-fd0577TU/dp/B0F4R6H3NB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-6,"Fri, 12 Sept",,2025-09-09 19:14:47
"HP 14-ep0340TU Laptop, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, 14"" (35.6 cm) FHD Anti-Glare Display, Windows 11, MS Office 2024, Silver, 1.4kg, FHD Camera with Privacy Shutter",B0FNK1STHK,HP,"₹52,999","₹85,000",38% off,,,https://www.amazon.in/HP-14-ep0340TU-i5-1334U-Anti-Glare-Display/dp/B0FNK1STHK/ref=sr_1_7?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-7,"Fri, 19 Sept",,2025-09-09 19:14:47
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6' FHD, Win11,MS Office Home21, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU / fd0129TU",B0F4R5W1NC,HP,"₹34,990","₹50,903",31% off,3.9 out of 5 stars,20,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0569TU/dp/B0F4R5W1NC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-8,"Fri, 12 Sept",,2025-09-09 19:14:47
"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",B0D7PYTTGH,Acer,"₹22,490","₹33,999",34% off,3.4 out of 5 stars,522,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_9?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-9,"Fri, 12 Sept",,2025-09-09 19:14:47
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG",B0D7PSYS6B,Acer,"₹20,990","₹29,990",30% off,3.4 out of 5 stars,522,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSYS6B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.atQlGzBfy9nnC282qrJB8qc7vTjYNG6-6ljFjh4DQ9yJDEalMxvFAp0S6vJwUZ2xjj6IPWH0ByUd0f0HJotSk3oIlrfFnGcGEbUKAK2zjmp-aOAeYrtYZTzSQqXY8ZwHcAql3wCmV7VE8Chjs09CDwBk2kQhVJckBaCm2GxRWGzy0-R-QZrj-RvwM-psJTO9dz2_Z-Opz3SIYKk7Y-hMVczvl0-7uPWEKj6DX4tb984.uEIa4MpwQZU8Bo5G36KwWkVyIz9PF7E5ph8goSX5iv4&dib_tag=se&keywords=laptops&qid=1757425485&sr=8-10,"Fri, 12 Sept",,2025-09-09 19:14:47
